1,2058.13,2,3,1.950354609929078
2,2058.13,5,5,1.950354609929078
3,2058.13,7,7,1.950354609929078
4,2058.13,9,9,1.950354609929078
5,2058.13,11,11,1.950354609929078
6,2058.13,14,13,1.950354609929078
7,2058.13,16,15,1.950354609929078
8,2058.13,18,17,1.950354609929078
9,2058.13,21,19,1.950354609929078
10,2058.13,23,21,1.950354609929078
11,2039.6,25,23,5.49645390070922
12,2039.6,27,25,5.49645390070922
13,2039.6,30,27,5.49645390070922
14,2039.6,32,29,5.49645390070922
15,2039.6,34,31,5.49645390070922
16,2012.95,36,33,4.875886524822695
17,2012.95,39,35,4.875886524822695
18,2012.95,42,37,4.875886524822695
19,2012.95,44,39,4.875886524822695
20,2012.95,48,41,4.875886524822695
21,2012.95,51,43,4.875886524822695
22,2012.95,54,45,4.875886524822695
23,2012.95,57,47,4.875886524822695
24,2012.95,59,49,4.875886524822695
25,2012.95,62,51,4.875886524822695
26,2012.95,64,53,4.875886524822695
27,2012.95,67,55,4.875886524822695
28,2012.95,69,57,4.875886524822695
29,2012.95,71,59,4.875886524822695
30,2012.95,75,61,4.875886524822695
31,2012.95,77,63,4.875886524822695
32,2012.95,80,65,4.875886524822695
33,2012.95,83,67,4.875886524822695
34,2012.95,85,69,4.875886524822695
35,2012.95,88,71,4.875886524822695
36,2012.95,90,73,4.875886524822695
37,2012.95,93,75,4.875886524822695
38,2012.95,96,77,4.875886524822695
39,2012.95,100,79,4.875886524822695
40,2012.95,103,81,4.875886524822695
41,2012.95,107,83,4.875886524822695
42,2012.95,110,85,4.875886524822695
43,2012.95,112,87,4.875886524822695
44,2012.95,115,89,4.875886524822695
45,2012.95,117,91,4.875886524822695
46,2012.95,119,93,4.875886524822695
47,2012.95,122,95,4.875886524822695
48,2012.95,124,97,4.875886524822695
49,2012.95,127,99,4.875886524822695
50,2012.95,129,101,4.875886524822695
51,2012.95,131,103,4.875886524822695
52,2012.95,134,105,4.875886524822695
53,2012.95,136,107,4.875886524822695
54,2012.95,138,109,4.875886524822695
55,2012.95,141,111,4.875886524822695
56,2012.95,143,113,4.875886524822695
57,2012.95,146,115,4.875886524822695
58,2012.95,148,117,4.875886524822695
59,2012.95,150,119,4.875886524822695
60,2012.95,153,121,4.875886524822695
61,2012.95,155,123,4.875886524822695
62,2012.95,158,125,4.875886524822695
63,2012.95,160,127,4.875886524822695
64,2012.95,162,129,4.875886524822695
65,2012.95,165,131,4.875886524822695
66,2012.95,167,133,4.875886524822695
67,2012.95,169,135,4.875886524822695
68,2012.95,171,137,4.875886524822695
69,2012.95,175,139,4.875886524822695
70,2012.95,177,141,4.875886524822695
71,2012.95,179,143,4.875886524822695
72,2012.95,181,145,4.875886524822695
73,2012.95,184,147,4.875886524822695
74,2012.95,186,149,4.875886524822695
75,2012.95,188,151,4.875886524822695
76,2012.95,191,153,4.875886524822695
77,2012.95,193,155,4.875886524822695
78,2012.95,195,157,4.875886524822695
79,2012.95,198,159,4.875886524822695
80,2012.95,200,161,4.875886524822695
81,2012.95,202,163,4.875886524822695
82,2012.95,205,165,4.875886524822695
83,2012.95,207,167,4.875886524822695
84,2012.95,210,169,4.875886524822695
85,2012.95,213,171,4.875886524822695
86,2012.95,216,173,4.875886524822695
87,2012.95,218,175,4.875886524822695
88,2012.95,221,177,4.875886524822695
89,2012.95,223,179,4.875886524822695
90,2012.95,226,181,4.875886524822695
91,2012.95,229,183,4.875886524822695
92,2012.95,231,185,4.875886524822695
93,2012.95,234,187,4.875886524822695
94,2012.95,236,189,4.875886524822695
95,2012.95,239,191,4.875886524822695
96,2012.95,242,193,4.875886524822695
97,2012.95,244,195,4.875886524822695
98,2012.95,247,197,4.875886524822695
99,2011.81,249,199,5.141843971631205
100,2010.45,251,201,6.914893617021277
101,2010.45,254,205,6.914893617021277
102,2010.45,256,209,6.914893617021277
103,2010.45,258,213,6.914893617021277
104,2010.45,261,217,6.914893617021277
105,2010.45,263,221,6.914893617021277
106,2010.45,265,225,6.914893617021277
107,2010.45,267,229,6.914893617021277
108,2010.45,270,233,6.914893617021277
109,2010.45,272,237,6.914893617021277
110,2010.45,275,241,6.914893617021277
111,2010.45,277,245,6.914893617021277
112,2010.45,279,249,6.914893617021277
113,2010.45,282,253,6.914893617021277
114,2010.45,285,257,6.914893617021277
115,2010.45,288,261,6.914893617021277
116,2010.45,290,265,6.914893617021277
117,2010.45,293,269,6.914893617021277
118,2010.45,296,273,6.914893617021277
119,2010.45,298,277,6.914893617021277
120,2010.45,300,281,6.914893617021277
121,2010.45,303,285,6.914893617021277
122,2010.45,305,289,6.914893617021277
123,2010.45,308,293,6.914893617021277
124,2004.73,310,297,3.8563829787234045
125,2004.73,313,301,3.8563829787234045
126,2004.73,315,305,3.8563829787234045
127,2004.73,318,309,3.8563829787234045
128,2004.73,320,313,3.8563829787234045
129,2004.73,322,317,3.8563829787234045
130,2004.73,325,321,3.8563829787234045
