1,2161.92,2,3,3.368794326241135
2,2161.92,5,5,3.368794326241135
3,2081.22,7,7,6.73758865248227
4,2081.22,9,9,6.73758865248227
5,2081.22,11,11,6.73758865248227
6,2072.89,14,13,3.0141843971631204
7,2072.89,16,15,3.0141843971631204
8,2072.89,18,17,3.0141843971631204
9,2072.89,21,19,3.0141843971631204
10,2072.89,23,21,3.0141843971631204
11,2072.89,26,23,3.0141843971631204
12,2072.89,28,25,3.0141843971631204
13,2072.89,30,27,3.0141843971631204
14,2051.2,33,29,7.2695035460992905
15,2051.2,35,31,7.2695035460992905
16,2051.2,37,33,7.2695035460992905
17,2051.2,40,35,7.2695035460992905
18,2051.2,42,37,7.2695035460992905
19,2051.2,44,39,7.2695035460992905
20,2051.2,47,41,7.2695035460992905
21,2051.2,50,43,7.2695035460992905
22,2051.2,52,45,7.2695035460992905
23,2051.2,54,47,7.2695035460992905
24,2051.2,57,49,7.2695035460992905
25,2051.2,61,51,7.2695035460992905
26,2051.2,64,53,7.2695035460992905
27,2051.2,67,55,7.2695035460992905
28,2051.2,70,57,7.2695035460992905
29,2051.2,72,59,7.2695035460992905
30,2051.2,75,61,7.2695035460992905
31,2042.85,78,63,4.078014184397164
32,2042.85,80,65,4.078014184397164
33,2042.85,83,67,4.078014184397164
34,2042.85,85,69,4.078014184397164
35,2042.85,88,71,4.078014184397164
36,2042.85,90,73,4.078014184397164
37,2042.85,92,75,4.078014184397164
38,2042.85,95,77,4.078014184397164
39,2042.85,97,79,4.078014184397164
40,2042.85,99,81,4.078014184397164
41,2042.85,102,83,4.078014184397164
42,2042.85,104,85,4.078014184397164
43,2042.85,107,87,4.078014184397164
44,2042.85,111,89,4.078014184397164
45,2042.85,113,91,4.078014184397164
46,2042.85,116,93,4.078014184397164
47,2042.85,118,95,4.078014184397164
48,2042.85,122,97,4.078014184397164
49,2038.89,124,99,1.8617021276595744
50,2038.89,126,101,1.8617021276595744
51,2038.89,129,103,1.8617021276595744
52,2038.89,131,105,1.8617021276595744
53,2038.89,134,107,1.8617021276595744
54,2038.89,136,109,1.8617021276595744
55,2038.89,138,111,1.8617021276595744
56,2038.89,141,113,1.8617021276595744
57,2038.89,144,115,1.8617021276595744
58,2038.89,146,117,1.8617021276595744
59,2038.89,149,119,1.8617021276595744
60,2038.89,151,121,1.8617021276595744
61,2038.89,154,123,1.8617021276595744
62,2038.89,157,125,1.8617021276595744
63,2038.89,159,127,1.8617021276595744
64,2038.89,161,129,1.8617021276595744
65,2038.89,164,131,1.8617021276595744
66,2038.89,168,133,1.8617021276595744
67,2038.89,171,135,1.8617021276595744
68,2038.89,173,137,1.8617021276595744
69,2038.89,176,139,1.8617021276595744
70,2038.89,178,141,1.8617021276595744
71,2038.89,181,143,1.8617021276595744
72,2038.89,184,145,1.8617021276595744
73,2038.89,186,147,1.8617021276595744
74,2038.89,189,149,1.8617021276595744
75,2038.89,191,151,1.8617021276595744
76,2038.89,194,153,1.8617021276595744
77,2038.89,196,155,1.8617021276595744
78,2038.89,199,157,1.8617021276595744
79,2038.89,201,159,1.8617021276595744
80,2038.89,204,161,1.8617021276595744
81,2038.89,207,163,1.8617021276595744
82,2038.89,210,165,1.8617021276595744
83,2038.89,214,167,1.8617021276595744
84,2038.89,217,169,1.8617021276595744
85,2038.89,220,171,1.8617021276595744
86,2038.89,222,173,1.8617021276595744
87,2038.89,225,175,1.8617021276595744
88,2038.89,227,177,1.8617021276595744
89,2038.89,230,179,1.8617021276595744
90,2038.89,233,181,1.8617021276595744
91,2038.89,236,183,1.8617021276595744
92,2038.89,238,185,1.8617021276595744
93,2038.89,240,187,1.8617021276595744
94,2038.89,243,189,1.8617021276595744
95,2038.89,245,191,1.8617021276595744
96,2038.89,248,193,1.8617021276595744
97,2038.89,250,195,1.8617021276595744
98,2038.89,252,197,1.8617021276595744
99,2038.89,255,199,1.8617021276595744
100,2038.89,258,201,1.8617021276595744
101,2038.89,261,205,1.8617021276595744
102,2038.89,264,209,1.8617021276595744
103,2038.89,266,213,1.8617021276595744
104,2038.89,269,217,1.8617021276595744
105,2038.89,271,221,1.8617021276595744
106,2038.89,274,225,1.8617021276595744
107,2038.89,276,229,1.8617021276595744
108,2038.89,279,233,1.8617021276595744
109,2038.89,282,237,1.8617021276595744
110,2038.89,284,241,1.8617021276595744
111,2038.89,287,245,1.8617021276595744
112,2038.89,290,249,1.8617021276595744
113,2038.89,292,253,1.8617021276595744
114,2038.89,295,257,1.8617021276595744
115,2038.89,297,261,1.8617021276595744
116,2038.89,300,265,1.8617021276595744
117,2038.89,303,269,1.8617021276595744
118,2038.89,305,273,1.8617021276595744
119,2038.89,307,277,1.8617021276595744
120,2038.89,310,281,1.8617021276595744
121,2038.89,312,285,1.8617021276595744
122,2038.89,315,289,1.8617021276595744
123,2038.89,317,293,1.8617021276595744
124,2038.89,320,297,1.8617021276595744
125,2038.89,323,301,1.8617021276595744
126,2038.89,325,305,1.8617021276595744
127,2038.89,328,309,1.8617021276595744
128,2038.89,331,313,1.8617021276595744
129,2038.89,334,317,1.8617021276595744
130,2038.89,337,321,1.8617021276595744
131,2038.89,339,325,1.8617021276595744
132,2038.89,341,329,1.8617021276595744
133,2038.89,344,333,1.8617021276595744
134,2038.89,346,337,1.8617021276595744
135,2038.89,350,341,1.8617021276595744
136,2038.89,353,345,1.8617021276595744
137,2033.005,355,349,4.875886524822695
138,2033.005,358,353,4.875886524822695
139,2033.005,360,357,4.875886524822695
140,2033.005,363,361,4.875886524822695
141,2033.005,366,365,4.875886524822695
142,2033.005,368,369,4.875886524822695
143,2033.005,371,373,4.875886524822695
144,2033.005,373,377,4.875886524822695
145,2033.005,376,381,4.875886524822695
146,2033.005,378,385,4.875886524822695
147,2033.005,381,389,4.875886524822695
148,2033.005,384,393,4.875886524822695
149,2033.005,386,397,4.875886524822695
150,2033.005,389,401,4.875886524822695
151,2033.005,391,407,4.875886524822695
152,2033.005,394,413,4.875886524822695
153,2033.005,397,419,4.875886524822695
154,2033.005,401,425,4.875886524822695
155,2033.005,403,431,4.875886524822695
156,2033.005,406,437,4.875886524822695
157,2033.005,408,443,4.875886524822695
158,2033.005,411,449,4.875886524822695
159,2033.005,414,455,4.875886524822695
160,2033.005,417,461,4.875886524822695
161,2033.005,419,467,4.875886524822695
162,2033.005,422,473,4.875886524822695
163,2033.005,424,479,4.875886524822695
164,2033.005,427,485,4.875886524822695
165,2033.005,430,491,4.875886524822695
166,2033.005,432,497,4.875886524822695
167,2033.005,435,503,4.875886524822695
168,2033.005,438,509,4.875886524822695
169,2033.005,441,515,4.875886524822695
170,2033.005,443,521,4.875886524822695
171,2033.005,446,527,4.875886524822695
172,2033.005,449,533,4.875886524822695
173,2032.7533333333333,451,539,3.5165484633569744
174,2032.7533333333333,454,545,3.5165484633569744
175,2032.7533333333333,457,551,3.5165484633569744
176,2014.3666666666668,459,557,2.6300236406619386
177,2014.3666666666668,462,563,2.6300236406619386
178,2014.3666666666668,464,569,2.6300236406619386
