jobs,aco,aica,neh
5,135.2,135.2,162.26
10,246.8,247.7,277.86
20,413.3,422.8,432.5
30,621.8,649.6,661.17
40,843.21,885.7,863.1
50,994.37,1068.1,1049.3
100,2102.6,2213.3,2062
200,4436.1,4683.7,4320.1
